system_time,midpoint,spread,rel_spread,imbalance,weighted_bid_distance
2021-04-14 15:52:00.127926+00:00,1.43565,0.0017,0.00118413,0.302488,-0.00154237
2021-04-14 15:53:00.127926+00:00,1.4389,0.0012,0.00083397,0.325738,-0.00127184
2021-04-14 15:54:00.127926+00:00,1.4407,0.001,0.000694107,0.444814,-0.00105651
2021-04-14 15:55:00.127926+00:00,1.4367,0.0008,0.000556832,0.134356,-0.00114026
2021-04-14 15:56:00.127926+00:00,1.43695,0.0013,0.000904694,0.0241146,-0.000981716
2021-04-14 15:57:00.127926+00:00,1.43495,0.0007,0.000487822,-0.329427,-0.00108594
2021-04-14 15:58:00.127926+00:00,1.43825,0.0015,0.00104293,-0.0198816,-0.00205777
2021-04-14 15:59:00.127926+00:00,1.44035,0.0007,0.000485993,-0.317907,-0.00107324
2021-04-14 16:00:59.971681+00:00,1.4387,0.0014,0.000973101,-0.20221,-0.00129543
2021-04-14 16:01:59.971681+00:00,1.44185,0.0005,0.000346777,0.246645,-0.00114864
2021-04-14 16:02:59.971681+00:00,1.4356,0.001,0.000696573,-0.301426,-0.00158916
2021-04-14 16:03:59.971681+00:00,1.4278,0.0018,0.00126068,-0.00769116,-0.00139374
2021-04-14 16:04:59.971681+00:00,1.43305,0.0013,0.000907156,-0.0749966,-0.00141598
2021-04-14 16:05:59.971681+00:00,1.42925,0.0005,0.000349834,0.0743639,-0.00136677
2021-04-14 16:06:59.971681+00:00,1.42825,0.0009,0.000630142,-0.147377,-0.0011076
2021-04-14 16:07:59.971681+00:00,1.4208,0.0012,0.000844595,-0.157256,-0.000921696
2021-04-14 16:08:59.971681+00:00,1.42285,0.0011,0.000773096,-0.649774,-0.00158088
2021-04-14 16:09:59.971681+00:00,1.4219,0.0014,0.000984598,-0.721265,-0.00135563
2021-04-14 16:10:59.971681+00:00,1.42025,0.0007,0.000492871,-0.320208,-0.00145002
2021-04-14 16:11:59.971681+00:00,1.4232,0.0012,0.00084317,-0.292557,-0.00172056
2021-04-14 16:12:59.971681+00:00,1.4286,0.0012,0.000839983,-0.265217,-0.00150695
2021-04-14 16:13:59.971681+00:00,1.4321,0.0008,0.00055862,-0.238129,-0.00110717
2021-04-14 16:14:59.971681+00:00,1.4321,0.0016,0.00111724,-0.0606198,-0.00121062
2021-04-14 16:15:59.971681+00:00,1.43835,0.0011,0.000764765,-0.0843107,-0.00145354
2021-04-14 16:16:59.971681+00:00,1.43925,0.0015,0.00104221,0.0573649,-0.00151682
2021-04-14 16:17:59.971681+00:00,1.4401,0.0022,0.00152767,0.140623,-0.00146089
2021-04-14 16:18:59.971681+00:00,1.44095,0.0001,6.93987e-05,0.0609092,-0.000980507
2021-04-14 16:19:59.971681+00:00,1.4431,0.001,0.000692953,0.101905,-0.00129251
2021-04-14 16:20:59.971681+00:00,1.44255,0.0009,0.000623895,0.0017585,-0.00124506
2021-04-14 16:21:59.971681+00:00,1.43915,0.0021,0.00145919,-0.188784,-0.00145271
2021-04-14 16:22:59.971681+00:00,1.44255,0.0005,0.000346608,-0.0163446,-0.00103271
2021-04-14 16:23:59.971681+00:00,1.4421,0.0012,0.00083212,0.0955452,-0.000883365
2021-04-14 16:24:59.971681+00:00,1.44135,0.0003,0.000208138,0.236287,-0.00116499
2021-04-14 16:25:59.971681+00:00,1.44025,0.0011,0.000763756,0.178228,-0.00111898
2021-04-14 16:26:59.971681+00:00,1.4426,0.0008,0.000554554,0.0353744,-0.00134385
2021-04-14 16:27:59.971681+00:00,1.44425,0.0011,0.000761641,0.247147,-0.00140713
2021-04-14 16:28:59.971681+00:00,1.4461,0.0006,0.000414909,0.425603,-0.0010341
2021-04-14 16:29:59.971681+00:00,1.44515,0.0013,0.000899561,-0.157317,-0.00114626
2021-04-14 16:30:59.971681+00:00,1.4489,0.0004,0.000276072,-0.404873,-0.00113119
2021-04-14 16:31:59.971681+00:00,1.44995,0.0001,6.89679e-05,0.455327,-0.000951434
2021-04-14 16:32:59.971681+00:00,1.45385,0.0009,0.000619046,0.172954,-0.00129727
2021-04-14 16:33:59.971681+00:00,1.4581,0.0006,0.000411494,0.551001,-0.00108188
2021-04-14 16:34:59.971681+00:00,1.4609,0.0014,0.000958313,0.0399935,-0.00125842
2021-04-14 16:35:59.971681+00:00,1.4667,0.0008,0.000545442,0.0182889,-0.0011935
